tablescraper-selected-row,linkified,linkified href,tablescraper-selected-row href,grey
"During our time in the White House, Michelle and I were proud to display artwork from artists like Alma Thomas and Charles Alston—whose work provoked thought, challenged our assumptions, and shaped how we define our narrative as a country.",https://t.co/eDd76kmlc1,http://t.co/eDd76kmlc1,https://twitter.com/BarackObama/status/1360288086899515393,"Feb 12, 2021"
"There is a lot of disinformation out there, but here’s the truth: You should get a COVID vaccine as soon as it's available to you. It could save your life—or a loved one’s.",https://t.co/jfRr8es6gW,http://t.co/jfRr8es6gW,https://twitter.com/BarackObama/status/1359177932699291650,"Feb 09, 2021"
"Climate change is a real threat to us all—but feeling helpless or overwhelmed isn’t going to solve it. As long as we stay hopeful and keep working with the urgency the challenge demands, we can make a difference.",https://t.co/AK1fYVdmzy,http://t.co/AK1fYVdmzy,https://twitter.com/BarackObama/status/1357743471885484032,"Feb 05, 2021"
"I’m proud to announce that the Obama Presidential Center will officially break ground in 2021. Our hope is that the center will breathe new life into historic Jackson Park while delivering jobs, growth, and much more to the South Side.

Let’s get to work.",https://t.co/cOqoPmaLkf,http://t.co/cOqoPmaLkf,https://twitter.com/BarackObama/status/1357064085754511361,"Feb 03, 2021"
"Black-owned independent bookstores play a critical role in communities all across our country. I wanted to show my support, so I dropped in to surprise the folks from @MahoganyBooks & the Very Smart Brothas Book Club. Take a look.",https://t.co/sQdc8xY6xY,http://t.co/sQdc8xY6xY,https://twitter.com/BarackObama/status/1356598745241161728,"Feb 02, 2021"
"When Jackie Robinson faced down slurs, spiked cleats, and pitches aimed at his head—and stole home anyway—he didn't only change baseball. He changed the world and paved the way for others, including me. On his birthday, we’re called not only to honor that legacy but build on it.",https://t.co/d2KDDZNWEN,http://t.co/d2KDDZNWEN,https://twitter.com/BarackObama/status/1355908844615061508,"Jan 31, 2021"
"RT @ObamaFoundation: #OTD in 2009, @BarackObama signed the Lilly Ledbetter Fair Pay Restoration Act—his first bill as President—to fight pa…",,,https://twitter.com/BarackObama/status/1355244722135166981,"Jan 29, 2021"
"In her extraordinary career, Cicely Tyson was one of the rare award-winning actors whose work on the screen was surpassed only by what she was able to accomplish off of it. She had a heart unlike any other—and for 96 years, she left a mark on the world that few will ever match.",https://t.co/JRsL3zlKtP,http://t.co/JRsL3zlKtP,https://twitter.com/BarackObama/status/1355003969911857153,"Jan 29, 2021"
".@EkpeUdoh—I saw your tweet about A Promised Land and thought I’d respond. For me, the title of my book is about the work we need to do to realize the promise of becoming a more perfect union, even if we don’t get there in our lifetimes. Glad to see your book club is reading it!",https://t.co/aVRMxwt5JH,http://t.co/aVRMxwt5JH,https://twitter.com/BarackObama/status/1354554094673920002,"Jan 27, 2021"
"Here’s an example of the incredible risks and burdens that our essential workers have been facing. And even as we move toward vaccinating our population, we all need to remain vigilant until we’ve beaten this pandemic.",https://t.co/SKhioxW0Mp,http://t.co/SKhioxW0Mp,https://twitter.com/BarackObama/status/1354074402435059712,"Jan 26, 2021"
Hank Aaron was one of the best baseball players we’ve ever seen and one of the strongest people I’ve ever met. Michelle and I send our thoughts and prayers to the Aaron family and everyone who was inspired by this unassuming man and his towering example.,https://t.co/2RZdc82Y18,http://t.co/2RZdc82Y18,https://twitter.com/BarackObama/status/1352692708448595968,"Jan 22, 2021"
"This is a time for boldness and President Biden is already delivering.

By rejoining the Paris climate accords on day one, he declared loudly and clearly that the U.S. will once again lead the fight against climate change.

And this is only the beginning.",https://t.co/6cSS49lkyx,http://t.co/6cSS49lkyx,https://twitter.com/BarackObama/status/1352388858227384322,"Jan 21, 2021"
"Today was a good day.

And it was only possible because of you. Because you made calls. Because you marched. Because you wore your masks and voted like never before.

For four years, you defended our democracy with everything you had—and now, our country can enter a new day.",https://t.co/JicHOQCIxt,http://t.co/JicHOQCIxt,https://twitter.com/BarackObama/status/1352092714599391233,"Jan 21, 2021"
"On a day for the history books, @TheAmandaGorman delivered a poem that more than met the moment. Young people like her are proof that ""there is always light, if only we're brave enough to see it; if only we're brave enough to be it.""",https://t.co/mbywtvjtEH,http://t.co/mbywtvjtEH,https://twitter.com/BarackObama/status/1351995663475728386,"Jan 20, 2021"
"RT @JoeBiden: Today, we begin anew. Tune in for #Inauguration2021.",https://t.co/HxfU8q5riA,http://t.co/HxfU8q5riA,https://twitter.com/BarackObama/status/1351927401979269125,"Jan 20, 2021"
"Congratulations to my friend, President @JoeBiden! This is your time.",https://t.co/LXzxGnBAfz,http://t.co/LXzxGnBAfz,https://twitter.com/BarackObama/status/1351903613237547010,"Jan 20, 2021"
"On #MLKDay, we celebrate his life but we’re also called to live out his values through service of our own. Here are some ways you can get involved in your community:",https://t.co/r9IGEW5dpD,http://t.co/r9IGEW5dpD,https://twitter.com/BarackObama/status/1351175958229880843,"Jan 18, 2021"
"If anyone had a right to question whether our democracy was worth redeeming, it was Dr. Martin Luther King, Jr. Because in the face of billy clubs and lynchings, poll taxes and literacy tests, he never gave in to violence, never waved a traitorous flag or gave up on our country.",https://t.co/TCmbuiXkUa,http://t.co/TCmbuiXkUa,https://twitter.com/BarackObama/status/1351175956992548870,"Jan 18, 2021"
"Happy birthday to my love, my partner, and my best friend. Every moment with you is a blessing. Love you, Miche.",https://t.co/BrtH0vwKk4,http://t.co/BrtH0vwKk4,https://twitter.com/BarackObama/status/1350805241038561282,"Jan 17, 2021"
And here’s a look back at the response to last summer’s Black Lives Matter protests.,https://t.co/IYTfawbWe5,http://t.co/IYTfawbWe5,https://twitter.com/BarackObama/status/1347608259822297088,"Jan 08, 2021"
